t,id,index,x,y
0,511,18,330.0,193.0
1,511,18,330.0,197.6
2,511,18,329.9,202.1
3,511,18,330.60822896715484,207.39999263957014
4,511,18,331.05293942693424,212.49966035221442
5,511,18,331.74651769436315,217.89842914558037
6,511,18,331.4463666132907,222.39407268536297
7,511,18,330.6596616349755,226.3902821291408
8,511,18,330.26368536023955,230.68928077609513
9,511,18,329.8192743685033,234.88906638673103
10,511,18,330.35524489662356,239.9889257455709
11,511,18,330.96453355221223,245.28803125120947
12,511,18,331.3165042697652,250.57484666264247
13,511,18,331.21343420670723,255.80420406450648
14,511,18,331.84942588059215,261.1037587097072
15,511,18,331.64557263298695,265.60258622364614
16,511,18,331.0477925726917,269.7015468735983
17,511,18,331.8820428433047,275.201076955366
18,511,18,332.1543997622399,280.19930566258097
19,511,18,331.6966879298174,284.496601278257
20,511,18,331.06333697128423,288.5946679939385
21,511,18,330.9734484269652,293.19378965460373
22,511,18,330.28355988264616,297.192911315269
23,511,18,331.05508502195136,302.5928231820669
24,511,18,331.33501384142977,307.5912558402243
25,511,18,332.1617034440488,313.1879898445103
26,511,18,332.02902554884594,317.97594422724376
27,511,18,331.6572638055301,322.5608971393473
28,511,18,330.9855020622142,326.84585005145084
29,511,18,330.5053946557946,331.23731385299266
30,511,18,329.5079335939564,335.0330737606747
31,511,18,329.0915059983776,338.9243248637457
32,511,18,324.3937969034516,338.9694836679366
33,511,18,319.2962096403578,338.61845130951735
34,511,18,314.2993091337449,338.38728771643883
35,511,18,309.9030504400966,338.772776317335
36,511,18,304.50644933119327,338.14957633325366
37,511,18,299.81139585432277,338.262845048025
38,511,18,295.21656798884663,338.4809204630626
39,511,18,290.0217401233705,338.0989958781002
40,511,18,285.8285421612033,338.74906083034875
41,511,18,280.43417381608305,338.1766119440726
42,511,18,275.1424224429246,337.75196503938406
43,511,18,271.4536004822902,338.9724537499489
44,511,18,267.0608904788833,339.4313259667013
45,511,18,262.86739000596657,340.07577106342734
46,511,18,258.1723581673171,340.18950548226957
47,511,18,252.6777173740087,339.51148741952215
48,511,18,247.58777114334072,339.315450574488
49,511,18,242.40149760429247,339.0705491875884
50,511,18,238.72112409976017,340.3950236379133
51,511,18,233.33149862765575,339.9037922014204
52,511,18,228.851217352605,340.4292606978094
53,511,18,224.86936995768735,341.4375185203755
54,511,18,219.27842195942787,340.725956515926
55,511,18,214.41009421147413,340.9648271750604
56,511,18,210.15529629096915,341.9081124176733
57,511,18,206.18165674300434,342.9998656945227
58,511,18,202.08165674409003,343.4999656362084
