t,id,index,x,y
0,381,20,320.0,259.0
1,381,20,320.3979598103187,261.2653096895063
2,381,20,320.7359196206374,263.4706193790126
3,381,20,321.01544232311403,265.6156539505381
4,381,20,321.478185726373,267.9401180706185
5,381,20,321.85926451859837,270.1848776168898
6,381,20,322.1609186136536,272.34953520423613
7,381,20,322.46554969386665,274.5136627821181
8,381,20,322.9332606147866,276.837237787494
9,381,20,323.17905073430586,278.94115792276835
10,381,20,323.45016585758844,281.0641171259818
11,381,20,324.0661105574227,283.5261936071556
12,381,20,324.6348299477609,285.9495867369414
13,381,20,325.11743704276364,288.2940750957221
14,381,20,325.51681321804296,290.5591355078567
15,381,20,325.87618939332225,292.78419591999125
16,381,20,326.4173649113171,295.1889383344308
17,381,20,326.7318450498009,297.3748565633927
18,381,20,327.0104021516276,299.5200612421323
19,381,20,327.2154439266154,301.58411538470807
20,381,20,327.77193780775315,303.98609081494044
21,381,20,328.1398097417798,306.2096368130225
22,381,20,328.4903643418548,308.4126977756033
23,381,20,328.84529323214866,310.6149608054032
24,381,20,329.425009695889,313.0363404926882
25,381,20,329.850432741554,315.32032639238895
26,381,20,330.1938181372982,317.5246762378193
27,381,20,330.7841910132955,319.96777016044945
28,381,20,330.9897164381858,322.0552291229807
29,381,20,331.54521883846667,324.45738688833677
30,381,20,332.03134289108306,326.8247439876908
31,381,20,332.3477649883753,329.05695948991803
32,381,20,332.5831172040456,331.18612469196734
33,381,20,330.143987693593,331.109397862948
34,381,20,328.0449262678696,331.37509840138284
35,381,20,325.8457667943607,331.5372732787396
36,381,20,323.68655961928545,331.7376584266015
37,381,20,321.2472869981965,331.65549797977013
38,381,20,318.988081031574,331.75592912279643
39,381,20,316.6688553541995,331.79560562153557
40,381,20,314.4696396844089,331.95566645560694
41,381,20,312.1903737234158,332.0337701613279
42,381,20,310.0910977226841,332.291475208413
43,381,20,307.8317234547013,332.38512197661606
44,381,20,305.3523300544847,332.2579423423881
45,381,20,303.0330270900325,332.2945628127255
46,381,20,300.7737348013271,332.3916151667534
47,381,20,298.63442079162627,332.60778530823
48,381,20,296.31502165922365,332.64035554606534
49,381,20,294.0156330782872,332.69338529110627
50,381,20,291.57624449735073,332.6064150361472
51,381,20,289.35693618718483,332.74281800417316
52,381,20,287.23758027333406,332.9772457676717
53,381,20,284.8581213375593,332.94713166433235
54,381,20,282.35870818644696,332.79908510975963
55,381,20,280.1194213737216,332.9163577282364
56,381,20,278.00009427496536,333.15198949007544
57,381,20,275.62065067807896,333.1225774801331
58,381,20,273.3412588823833,333.1954676482875
59,381,20,270.9218535312017,333.1277651717243
60,381,20,268.6225344982416,333.183729309056
61,381,20,266.20321546528146,333.11969344638766
62,381,20,263.78399497449743,333.05956944123307
63,381,20,261.6448836242841,333.28349908475076
64,381,20,259.5456237514439,333.5418432116776
65,381,20,257.04619267998714,333.39299736712263
66,381,20,254.72693947554845,333.43160369680123
67,381,20,252.36770618262423,333.4309860570512
68,381,20,250.22853674241165,333.65279127683505
69,381,20,248.029196625678,333.80788236122476
70,381,20,245.66975628083705,333.79861795541444
71,381,20,243.23037773806206,333.71208118601265
72,381,20,240.93116439544926,333.7722310418004
73,381,20,238.59195105283646,333.7923808975882
74,381,20,236.29279401102278,333.8546456314154
75,381,20,233.81363696920909,333.7369103652426
76,381,20,231.4547935468668,333.74984128840686
77,381,20,229.09607366672628,333.76656750717706
78,381,20,226.95749275517022,334.0073498878678
79,381,20,224.6385352803268,334.0565924243721
80,381,20,222.21962484213648,334.00737940890764
81,381,20,219.92104638235972,334.0882315223634
82,381,20,217.64246792258297,334.1890836358192
83,381,20,215.44381962587258,334.3679253001244
84,381,20,213.06481812452168,334.35569031164437
85,381,20,210.70613047551012,334.3733761680259
86,381,20,208.22774670102453,334.27958536232296
87,381,20,206.09068947243105,334.55589567384555
88,381,20,203.59223945398927,334.44032027171215
89,381,20,201.45614453292598,334.7342908411196
90,381,20,199.15760357846506,334.81620226075006
91,381,20,197.01906262400414,335.05811368038053
92,381,20,194.91948860447792,335.2138493751225
93,381,20,192.42258423966985,335.13314035938214
94,381,20,190.0458519706721,335.1757000776605
95,381,20,187.76919108765492,335.31959030495403
96,381,20,185.272511990927,335.24314242615424
97,381,20,182.77602055724844,335.1701349260943
98,381,20,180.49972573202635,335.3206342581165
99,381,20,178.10341064332155,335.35077653943483
100,381,20,175.68719925477134,335.3627358479065
101,381,20,173.47111664391304,335.5769172330318
102,381,20,171.2949463872928,335.8295903373622
103,381,20,169.03864437486203,335.9999631401486
104,381,20,166.56229820721117,335.9495558803591
105,381,20,164.4461568892993,336.2627288812935
106,381,20,162.12980683810977,336.3722527879744
107,381,20,159.99348011346558,336.66218959447997
108,381,20,157.7169654270068,336.8087608980174
109,381,20,155.5804271560416,337.0949035553231
110,381,20,153.08369956574197,337.017550919569
111,381,20,150.86721467611332,337.2246617047418
112,381,20,148.55062944801975,337.3299465406252
113,381,20,146.33406970912898,337.5356977462101
114,381,20,144.13740635749477,337.75954220212265
115,381,20,142.0406130123147,338.08095196094223
116,381,20,139.74356229864102,338.1973908668597
117,381,20,137.26651158496736,338.1338297727771
118,381,20,134.92970370620625,338.21496427678386
119,381,20,132.5129526403741,338.21717123893785
120,381,20,130.25637993353934,338.38268539041735
121,381,20,127.77974558323767,338.32706650238555
122,381,20,125.34340146742197,338.31669559541115
123,381,20,122.98729906641441,338.3905379059385
124,381,20,120.711306021827,338.5462432455765
125,381,20,118.5152752311104,338.781308444948
126,381,20,116.09905292886403,338.7930777079285
127,381,20,113.84306862314178,338.96893081932865
128,381,20,111.7270014323571,339.28337580957435
129,381,20,109.49056088195022,339.4712851463991
130,381,20,107.37399618310465,339.77694573694515
131,381,20,105.11706066662622,339.9356353874626
132,381,20,102.64004287464735,339.8727219508783
133,381,20,100.54342060308134,340.19732589041064
134,381,20,98.38634306889413,340.4532344834156
135,381,20,95.94895568103553,340.4228300586376
136,381,20,93.8318925254746,340.71902325708083
137,381,20,91.35439761045046,340.64634108150085
138,381,20,88.85735674185091,340.56297404418046
139,381,20,86.70089939745115,340.8305815100767
140,381,20,84.54400548164907,341.0900735163004
